W_x_error,W_y_error,W_z_error,V_x_error,V_y_error,V_z_error
0.0,0.0,0.0,0.0005388846799999902,0.0009610646799999567,0.0
0.0,0.0,0.0,0.0005408929699999843,0.000973059509999985,0.0
0.0,0.0,0.0,0.0005378926400000095,0.000976059180000044,0.0
0.0,0.0,0.0,0.0005358920899999897,0.0009810589600000585,0.0
0.0,0.0,0.0,0.0005328913199999785,0.000988058629999955,0.0
0.0,0.0,0.0,0.0005298904400000137,0.0009960582999999912,0.0
0.0,0.0,0.0,0.0005278894500000131,0.0010050580800000097,0.0
0.0,0.0,0.0,0.0005238882399999922,0.001016057640000012,0.0
0.0,0.0,0.0,0.000516877720000003,0.0010190620399999628,0.0
0.0,0.0,0.0,0.000513877239999988,0.0010230616799999925,0.0
0.0,0.0,0.0,0.0005088765199999928,0.0010290610799999489,0.0
0.0,0.0,0.0,0.0005038757999999977,0.0010350604800000163,0.0
0.0,0.0,0.0,0.000502885159999994,0.0010440553300000155,0.0
0.0,0.0,0.0,0.0004998840599999971,0.0010540549999999982,0.0
0.0,0.0,0.0,0.0004968828499999911,0.0010650546699999541,0.0
0.0,0.0,0.0,0.0004928824100000062,0.0010690542300000883,0.0
0.0,0.0,0.0,0.00048788185999999734,0.00107405368000002,0.0
0.0,0.0,0.0,0.0004848812000000091,0.0010800533499999987,0.0
0.0,0.0,0.0,0.0004808803200000017,0.0010880529100000258,0.0
0.0,0.0,0.0,0.0004758792200000028,0.0010980523599999903,0.0
0.0,0.0,0.0,0.000472878009999983,0.0011090520300000017,0.0
0.0,0.0,0.0,0.000464866440000003,0.0011130557999999846,0.0
0.0,0.0,0.0,0.00045786584000000186,0.0011180549600000589,0.0
0.0,0.0,0.0,0.0004528650000000037,0.0011250543599999885,0.0
0.0,0.0,0.0,0.0004458640400000005,0.0011330535199999825,0.0
0.0,0.0,0.0,0.00044086283999999337,0.0011430529200000539,0.0
0.0,0.0,0.0,0.0004338624799999982,0.0011460520800000151,0.0
0.0,0.0,0.0,0.00042886199999999514,0.0011500514799999695,0.0
0.0,0.0,0.0,0.0004238612800000069,0.0011560508800000369,0.0
0.0,0.0,0.0,0.00041987207000000054,0.0011630462000000175,0.0
0.0,0.0,0.0,0.00041387097000000067,0.0011730455399999729,0.0
0.0,0.0,0.0,0.00040787075000000075,0.0011750448800000313,0.0
0.0,0.0,0.0,0.0003978585200000023,0.001179047759999996,0.0
0.0,0.0,0.0,0.0003928576800000007,0.0011860471600000366,0.0
0.0,0.0,0.0,0.00038685672000000025,0.001194046439999985,0.0
0.0,0.0,0.0,0.0003778446499999996,0.0011950491400000152,0.0
0.0,0.0,0.0,0.0003688442599999995,0.0011980479700000046,0.0
0.0,0.0,0.0,0.0003618434800000004,0.0012040470599999908,0.0
0.0,0.0,0.0,0.00035484256999999964,0.0012110461500000058,0.0
0.0,0.0,0.0,0.0003468423099999996,0.0012130451100000328,0.0
0.0,0.0,0.0,0.000336829759999999,0.0012160471799999573,0.0
0.0,0.0,0.0,0.0003308287799999969,0.0012230463400000335,0.0
0.0,0.0,0.0,0.0003218275200000016,0.0012320450800000216,0.0
0.0,0.0,0.0,0.0003098148999999967,0.001234046499999919,0.0
0.0,0.0,0.0,0.0003018140000000044,0.0012400452999999922,0.0
0.0,0.0,0.0,0.0002928126500000017,0.0012490439499999728,0.0
0.0,0.0,0.0,0.00028079968000000594,0.0012520449600000316,0.0
0.0,0.0,0.0,0.0002717985600000014,0.0012590435200000027,0.0
0.0,0.0,0.0,0.0002607984000000049,0.001260041759999997,0.0
0.0,0.0,0.0,0.0002507975999999981,0.0012650401600000083,0.0
0.0,0.0,0.0,0.00024480874999999874,0.0012750367500000137,0.0
0.0,0.0,0.0,0.00023280814999999955,0.0012790349499999798,0.0
0.0,0.0,0.0,0.00022380664999999134,0.0012890335999999336,0.0
0.0,0.0,0.0,0.00021480590000000355,0.0012940322500000212,0.0
0.0,0.0,0.0,0.0002068174399999928,0.0013040289799999827,0.0
0.0,0.0,0.0,0.00019581645999999786,0.001311027440000001,0.0
0.0,0.0,0.0,0.00018180320000001082,0.0013120272999999627,0.0
0.0,0.0,0.0,0.0001728017000000026,0.001322025949999972,0.0
0.0,0.0,0.0,0.00016080094999999794,0.0013270241499999669,0.0
0.0,0.0,0.0,0.00014780049999998934,0.0013300222000000028,0.0
0.0,0.0,0.0,0.00013278703999998476,0.001331021280000011,0.0
0.0,0.0,0.0,0.00012078559999999239,0.0013400193599999999,0.0
0.0,0.0,0.0,0.00011179749999999655,0.0013500168000000201,0.0
0.0,0.0,0.0,9.87964500000077e-05,0.0013570148500000045,0.0
0.0,0.0,0.0,8.679525000000743e-05,0.0013650130500000301,0.0
0.0,0.0,0.0,7.479404999999328e-05,0.0013730112500000002,0.0
0.0,0.0,0.0,6.279254999999595e-05,0.0013830094499999723,0.0
0.0,0.0,0.0,4.7792399999996293e-05,0.0013840071999999815,0.0
0.0,0.0,0.0,3.4791949999973815e-05,0.0013870052500000174,0.0
0.0,0.0,0.0,2.1790599999987892e-05,0.0013960033000000038,0.0
