0,0,0,0,0,0.0
-0.012,0.0,0.0,0.012,0.0,0.0
-0.02447,0.0,0.0,0.02447,0.0,0.0
-0.03743,0.0,0.0,0.03743,0.0,0.0
-0.0509,0.0,0.0,0.0509,0.0,0.0
-0.06489,0.0,0.0,0.06489,0.0,0.0
-0.07942,0.0,0.0,0.07942,0.0,0.0
-0.09452,0.0,0.0,0.09452,0.0,0.0
-0.11022,0.0,0.0,0.11022,0.0,0.0
-0.12651,0.0,0.0,0.12651,0.0,0.0
-0.14345,0.0,0.0,0.14345,0.0,0.0
-0.16102,0.0,0.0,0.16102,0.0,0.0
-0.17926,0.0,0.0,0.17926,0.0,0.0
-0.19818,0.0,0.0,0.19818,0.0,0.0
-0.21782,0.0,0.0,0.21782,0.0,0.0
-0.23821,0.0,0.0,0.23821,0.0,0.0
-0.25935,0.0,0.0,0.25935,0.0,0.0
-0.28125,0.0,0.0,0.28125,0.0,0.0
-0.30396,0.0,0.0,0.30396,0.0,0.0
-0.32747,0.0,0.0,0.32747,0.0,0.0
-0.35181,0.0,0.0,0.35181,0.0,0.0
-0.377,0.0,0.0,0.377,0.0,0.0
-0.40304,0.0,0.0,0.40304,0.0,0.0
-0.42997,0.0,0.0,0.42997,0.0,0.0
-0.45777,0.0,0.0,0.45777,0.0,0.0
-0.48646,0.0,0.0,0.48646,0.0,0.0
-0.51605,0.0,0.0,0.51605,0.0,0.0
-0.54656,0.0,0.0,0.54656,0.0,0.0
-0.57795,0.0,0.0,0.57795,0.0,0.0
-0.61026,0.0,0.0,0.61026,0.0,0.0
-0.64346,0.0,0.0,0.64346,0.0,0.0
-0.67755,0.0,0.0,0.67755,0.0,0.0
-0.71251,0.0,0.0,0.71251,0.0,0.0
-0.74831,0.0,0.0,0.74831,0.0,0.0
-0.78493,0.0,0.0,0.78493,0.0,0.0
-0.82236,0.0,0.0,0.82236,0.0,0.0
-0.86053,0.0,0.0,0.86053,0.0,0.0
-0.89943,0.0,0.0,0.89943,0.0,0.0
-0.939,0.0,0.0,0.939,0.0,0.0
-0.9792,0.0,0.0,0.9792,0.0,0.0
-1.01996,0.0,0.0,1.01996,0.0,0.0
-1.06123,0.0,0.0,1.06123,0.0,0.0
-1.10294,0.0,0.0,1.10294,0.0,0.0
-1.14502,0.0,0.0,1.14502,0.0,0.0
-1.18739,0.0,0.0,1.18739,0.0,0.0
-1.23001,0.0,0.0,1.23001,0.0,0.0
-1.27276,0.0,0.0,1.27276,0.0,0.0
-1.31556,0.0,0.0,1.31556,0.0,0.0
-1.35835,0.0,0.0,1.35835,0.0,0.0
-1.40103,0.0,0.0,1.40103,0.0,0.0
-1.44353,0.0,0.0,1.44353,0.0,0.0
-1.48578,0.0,0.0,1.48578,0.0,0.0
-1.52767,0.0,0.0,1.52767,0.0,0.0
-1.56915,0.0,0.0,1.56915,0.0,0.0
-1.61425,0.0006,-3e-05,1.61425,-0.0006,0.0
-1.65223,0.00024,-1e-05,1.65223,-0.00024,0.0
-1.69144,0.00015,-1e-05,1.69144,-0.00015,0.0
-1.7303,0.00011,-1e-05,1.7303,-0.00011,0.0
-1.76854,9e-05,-1e-05,1.76854,-9e-05,0.0
-1.80602,8e-05,-1e-05,1.80602,-8e-05,0.0
-1.84272,7e-05,-1e-05,1.84272,-7e-05,0.0
-1.87855,6e-05,-1e-05,1.87855,-6e-05,0.0
-1.9135,5e-05,-1e-05,1.9135,-5e-05,0.0
-1.94752,5e-05,-1e-05,1.94752,-5e-05,0.0
-1.98059,5e-05,-1e-05,1.98059,-5e-05,0.0
-2.01269,5e-05,-1e-05,2.01269,-5e-05,0.0
-2.04383,5e-05,-1e-05,2.04383,-5e-05,0.0
-2.07396,5e-05,-1e-05,2.07396,-5e-05,0.0
-2.10311,5e-05,-1e-05,2.10311,-5e-05,0.0
-2.13127,5e-05,-1e-05,2.13127,-5e-05,0.0
-2.15842,5e-05,-1e-05,2.15842,-5e-05,0.0
-2.18461,5e-05,-1e-05,2.18461,-5e-05,0.0
-2.20981,5e-05,-1e-05,2.20981,-5e-05,0.0
-2.23406,5e-05,-1e-05,2.23406,-5e-05,0.0
-2.25736,5e-05,-1e-05,2.25736,-5e-05,0.0
-2.27975,5e-05,-1e-05,2.27975,-5e-05,0.0
-2.30123,5e-05,-1e-05,2.30123,-5e-05,0.0
-2.32179,5e-05,-1e-05,2.32179,-5e-05,0.0
-2.34151,5e-05,-1e-05,2.34151,-5e-05,0.0
-2.36037,5e-05,-1e-05,2.36037,-5e-05,0.0
-2.37841,5e-05,-1e-05,2.37841,-5e-05,0.0
-2.39565,5e-05,-1e-05,2.39565,-5e-05,0.0
-2.41211,5e-05,-1e-05,2.41211,-5e-05,0.0
-2.42782,5e-05,-1e-05,2.42782,-5e-05,0.0
-2.44278,5e-05,-1e-05,2.44278,-5e-05,0.0
-2.45705,5e-05,-1e-05,2.45705,-5e-05,0.0
-2.47063,5e-05,-1e-05,2.47063,-5e-05,0.0
-2.48356,5e-05,-1e-05,2.48356,-5e-05,0.0
-2.49584,5e-05,-1e-05,2.49584,-5e-05,0.0
-2.50751,5e-05,-1e-05,2.50751,-5e-05,0.0
-2.51858,5e-05,-1e-05,2.51858,-5e-05,0.0
-2.52907,5e-05,-1e-05,2.52907,-5e-05,0.0
-2.53904,5e-05,-1e-05,2.53904,-5e-05,0.0
-2.54845,5e-05,-1e-05,2.54845,-5e-05,0.0
-2.55737,5e-05,-1e-05,2.55737,-5e-05,0.0
-2.5658,5e-05,-1e-05,2.5658,-5e-05,0.0
