-0.27886,0.39846,0.6774,1.0
-0.28178,0.40463,0.68649,1.0
-0.28468,0.41084,0.6956,1.0
-0.28756,0.41709,0.70473,1.0
-0.29042,0.42338,0.71388,1.0
-0.29325,0.42971,0.72304,1.0
-0.29606,0.43608,0.73222,1.0
-0.29884,0.44249,0.74141,1.0
-0.3016,0.44894,0.75062,1.0
-0.30433,0.45543,0.75984,1.0
-0.30704,0.46196,0.76907,1.0
-0.30972,0.46853,0.77832,1.0
-0.31237,0.47513,0.78758,1.0
-0.31499,0.48178,0.79685,1.0
-0.31758,0.48847,0.80613,1.0
-0.32015,0.49519,0.81542,1.0
-0.32269,0.50195,0.82472,1.0
-0.32519,0.50875,0.83402,1.0
-0.32767,0.51559,0.84334,1.0
-0.33011,0.52247,0.85267,1.0
-0.33252,0.52939,0.862,1.0
-0.3349,0.53635,0.87134,1.0
-0.33725,0.54335,0.88069,1.0
-0.33957,0.55038,0.89004,1.0
-0.34185,0.55745,0.8994,1.0
-0.3441,0.56456,0.90876,1.0
-0.34632,0.57171,0.91813,1.0
-0.3485,0.5789,0.9275,1.0
-0.35065,0.58613,0.93687,1.0
-0.35276,0.5934,0.94625,1.0
-0.35484,0.6007,0.95563,1.0
-0.35688,0.60804,0.96502,1.0
-0.35889,0.61542,0.97441,1.0
-0.36086,0.62284,0.9838,1.0
-0.36279,0.6303,0.99319,1.0
-0.36469,0.6378,1.00258,1.0
-0.36655,0.64533,1.01197,1.0
-0.36837,0.6529,1.02137,1.0
-0.37016,0.66051,1.03077,1.0
-0.37191,0.66816,1.04017,1.0
-0.37362,0.67585,1.04957,1.0
-0.37529,0.68358,1.05897,1.0
-0.37693,0.69135,1.06837,1.0
-0.37853,0.69916,1.07777,1.0
-0.38009,0.707,1.08717,1.0
-0.38161,0.71488,1.09657,1.0
-0.38309,0.7228,1.10597,1.0
-0.38453,0.73076,1.11537,1.0
-0.38593,0.73876,1.12477,1.0
-0.38729,0.7468,1.13417,1.0
-0.38861,0.75487,1.14357,1.0
-0.38989,0.76298,1.15297,1.0
-0.39113,0.77113,1.16237,1.0
-0.39233,0.77932,1.17176,1.0
-0.39349,0.78755,1.18115,1.0
-0.39461,0.79582,1.19054,1.0
-0.39569,0.80413,1.19993,1.0
-0.39673,0.81248,1.20932,1.0
-0.39773,0.82087,1.21871,1.0
-0.39869,0.8293,1.2281,1.0
-0.39961,0.83776,1.23748,1.0
-0.40049,0.84627,1.24686,1.0
-0.40133,0.85481,1.25624,1.0
-0.40213,0.86339,1.26562,1.0
-0.40289,0.87201,1.275,1.0
-0.4036,0.88067,1.28438,1.0
-0.40428,0.88937,1.29376,1.0
-0.40491,0.89811,1.30314,1.0
-0.4055,0.90689,1.31251,1.0
-0.40605,0.91571,1.32188,1.0
-0.40656,0.92457,1.33125,1.0
-0.40703,0.93347,1.34062,1.0
-0.40746,0.94241,1.34999,1.0
-0.40785,0.9514,1.35936,1.0
-0.40819,0.96043,1.36873,1.0
-0.40849,0.9695,1.3781,1.0
-0.40875,0.97861,1.38747,1.0
-0.40897,0.98776,1.39684,1.0
-0.40915,0.99695,1.40621,1.0
-0.40929,1.00618,1.41558,1.0
